Product,Container ID,Container Title,Container Display Name,Container Active,Container Mode,Question ID,Question Old ID,Question Level,Question Type,Question Active,Question (Main) Tag
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,739,תא - 164 - 30,4,English layout,1,Restatements
פסיכומטרי,62609,assignment container,assignment container,1,Predetermined,739,תא - 164 - 30,4,English layout,1,Restatements
פסיכומטרי,62608,assignment container,assignment container,1,Predetermined,748,אנ- 94- 95,7,English layout,1,Sentence Completions
פסיכומטרי,2,בעיות כלליות 1 מקבץ הצבת תשובות,תרגול הצבת תשובות,1,Predetermined,760,סח - 221 - 13,6,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,220,גאומטריה פסיכומטרית מקבץ הסתמכות על סרטוט,תרגול הסתמכות על הסרטוט,1,Predetermined,766,סח - 102 - 20,8,Image and text,1,מצולעים
פסיכומטרי,55375,גיאומטריה חיזוק,גיאומטריה חיזוק,1,Predetermined,767,סח - 125 - 1,4,Image and text,1,פיתגורס
פסיכומטרי,59904,תרגול נוסף - מעגלים,תרגול נוסף - מעגלים,1,Predetermined,769,סח - 125 - 3,7,Numeric bullet single choice,1,פיתגורס
פסיכומטרי,69473,תרגול נוסף - גיאומטריה,תרגול נוסף - גיאומטריה,1,Predetermined,769,סח - 125 - 3,7,Numeric bullet single choice,1,פיתגורס
פסיכומטרי,62608,assignment container,assignment container,1,Predetermined,773,אנ - 96 - 104,5,English layout,1,Sentence Completions
פסיכומטרי,57576,תרגול נוסף - אנגלית,תרגול נוסף - אנגלית,1,Predetermined,781,אנ - 98 - 111,6,English layout,1,Sentence Completions
פסיכומטרי,11082,assignment container,assignment container,1,Predetermined,802,סח - 128 - 13,9,Image and text,1,פיתגורס
פסיכומטרי,59904,תרגול נוסף - מעגלים,תרגול נוסף - מעגלים,1,Predetermined,814,סח  -  122  - 15,7,Image and text,1,דמיון צורות
פסיכומטרי,62609,assignment container,assignment container,1,Predetermined,821,אנ - 116 - 45,5,English layout,1,Restatements
פסיכומטרי,57577,assignment container,assignment container,1,Predetermined,826,אנ - 118 - 50,6,English layout,1,Restatements
פסיכומטרי,9474,ניסוח מחדש,ניסוח מחדש,1,Predetermined,828,אנ - 119 - 52,5,English layout,1,Restatements
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,828,אנ - 119 - 52,5,English layout,1,Restatements
פסיכומטרי,924,מפגש 18 פירוט שיטתי,תרגול פירוט שיטתי,1,Predetermined,875,סח - 227 - 03,3.5,Numeric bullet single choice,1,צירופים
פסיכומטרי,924,מפגש 18 פירוט שיטתי,תרגול פירוט שיטתי,1,Predetermined,887,סח - 230 - 14,2,Numeric bullet single choice,1,צירופים
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,907,אנ - 119 - 54,4,English layout,1,Restatements
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,911,אנ - 120 - 58,3,English layout,1,Restatements
פסיכומטרי,4307,ניסוח מחדש,ניסוח מחדש,1,Predetermined,912,אנ - 121 - 59,7,English layout,1,Restatements
פסיכומטרי,9474,ניסוח מחדש,ניסוח מחדש,1,Predetermined,914,אנ - 122 - 61,3,English layout,1,Restatements
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,915,אנ - 122 - 62,4,English layout,1,Restatements
פסיכומטרי,277,חזרות מפגש 7 אחוזים חלשים,אחוזים - תרגול חזרה,1,Predetermined,966,סח - 193 - 3,3,Numeric bullet single choice,1,אחוזים
פסיכומטרי,10574,אחוזים והבנה והסקה,אחוזים והבנה והסקה,1,Predetermined,969,סח - 194 - 4,2,Numeric bullet single choice,1,אחוזים
פסיכומטרי,9333,assignment container,assignment container,1,Predetermined,972,סח  -  161  -  17,6,Image and text,1,אנליטית
פסיכומטרי,213,גאומטריה פסיכומטרית מקבץ גאומטריה מופשטת,תרגול גאומטריה מופשטת,1,Predetermined,980,סח  -  165  -  1,5.5,Numeric bullet single choice,1,מרובעים
פסיכומטרי,987,משולשים מקבץ חזקים 2,תרגול משולשים,1,Predetermined,982,סח  - 165  -  2,6,Image and text,1,משולשים
פסיכומטרי,213,גאומטריה פסיכומטרית מקבץ גאומטריה מופשטת,תרגול גאומטריה מופשטת,1,Predetermined,986,סח  - 166  -  4,4,Numeric bullet single choice,1,קווים וזוויות
פסיכומטרי,55375,גיאומטריה חיזוק,גיאומטריה חיזוק,1,Predetermined,991,סח  -  167  -  7,4,Image and text,1,משולשים
פסיכומטרי,277,חזרות מפגש 7 אחוזים חלשים,אחוזים - תרגול חזרה,1,Predetermined,996,סח - 194 - 6,2,Numeric bullet single choice,1,אחוזים
פסיכומטרי,10574,אחוזים והבנה והסקה,אחוזים והבנה והסקה,1,Predetermined,996,סח - 194 - 6,2,Numeric bullet single choice,1,אחוזים
פסיכומטרי,277,חזרות מפגש 7 אחוזים חלשים,אחוזים - תרגול חזרה,1,Predetermined,997,סח - 194 - 7,2,Numeric bullet single choice,1,אחוזים
פסיכומטרי,921,מפגש 18 עקרונות יחס,תרגול עקרונות יחס,1,Predetermined,999,סח - 195 - 8,6,Numeric bullet single choice,1,אחוזים
פסיכומטרי,10574,אחוזים והבנה והסקה,אחוזים והבנה והסקה,1,Predetermined,999,סח - 195 - 8,6,Numeric bullet single choice,1,אחוזים
פסיכומטרי,13550,תרגול נוסף אחוזים,תרגול נוסף אחוזים,1,Predetermined,1000,סח - 195 - 9,1,Numeric bullet single choice,1,אחוזים
פסיכומטרי,277,חזרות מפגש 7 אחוזים חלשים,אחוזים - תרגול חזרה,1,Predetermined,1001,סח - 195 - 10,3,Numeric bullet single choice,1,אחוזים
פסיכומטרי,13550,תרגול נוסף אחוזים,תרגול נוסף אחוזים,1,Predetermined,1001,סח - 195 - 10,3,Numeric bullet single choice,1,אחוזים
פסיכומטרי,277,חזרות מפגש 7 אחוזים חלשים,אחוזים - תרגול חזרה,1,Predetermined,1005,סח - 196 - 13,5,Numeric bullet single choice,1,אחוזים
פסיכומטרי,921,מפגש 18 עקרונות יחס,תרגול עקרונות יחס,1,Predetermined,1005,סח - 196 - 13,5,Numeric bullet single choice,1,אחוזים
פסיכומטרי,10574,אחוזים והבנה והסקה,אחוזים והבנה והסקה,1,Predetermined,1005,סח - 196 - 13,5,Numeric bullet single choice,1,אחוזים
פסיכומטרי,13550,תרגול נוסף אחוזים,תרגול נוסף אחוזים,1,Predetermined,1005,סח - 196 - 13,5,Numeric bullet single choice,1,אחוזים
פסיכומטרי,211,גאומטריה פסיכומטרית מקבץ הצבה,תרגול הצבת מספרים,1,Predetermined,1008,סח  -  168  -  9,3,Image and text,1,קווים וזוויות
פסיכומטרי,109284,assignment container,assignment container,1,Predetermined,1017,618,7,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,69473,תרגול נוסף - גיאומטריה,תרגול נוסף - גיאומטריה,1,Predetermined,1025,A_9268,3,Image and text,1,מרובעים
פסיכומטרי,10574,אחוזים והבנה והסקה,אחוזים והבנה והסקה,1,Predetermined,1042,סח - 196 - 15,6,Numeric bullet single choice,1,אחוזים
פסיכומטרי,277,חזרות מפגש 7 אחוזים חלשים,אחוזים - תרגול חזרה,1,Predetermined,1043,סח - 197 - 16,4,Numeric bullet single choice,1,אחוזים
פסיכומטרי,10574,אחוזים והבנה והסקה,אחוזים והבנה והסקה,1,Predetermined,1044,סח - 197 - 17,6,Numeric bullet single choice,1,אחוזים
פסיכומטרי,10574,אחוזים והבנה והסקה,אחוזים והבנה והסקה,1,Predetermined,1047,סח - 198 - 20,6,Numeric bullet single choice,1,אחוזים
פסיכומטרי,921,מפגש 18 עקרונות יחס,תרגול עקרונות יחס,1,Predetermined,1052,סח - 170 - 5,8.5,Image and text,1,פיתגורס
פסיכומטרי,921,מפגש 18 עקרונות יחס,תרגול עקרונות יחס,1,Predetermined,1053,סח - 171 - 6,4,Image and text,1,מעגלים
פסיכומטרי,278,חזרות מפגש 7 דמיון חלשים,דמיון - תרגול חזרה,1,Predetermined,1055,סח - 171 - 7,2,Image and text,1,דמיון צורות
פסיכומטרי,279,חזרות מפגש 7 דמיון חזקים,דמיון - תרגול חזרה,1,Predetermined,1055,סח - 171 - 7,2,Image and text,1,דמיון צורות
פסיכומטרי,212,גאומטריה פסיכומטרית מקבץ סרטוט גמיש,תרגול סרטוט גמיש,1,Predetermined,1056,סח - 171 - 8,5,Image and text,1,מעגלים
פסיכומטרי,987,משולשים מקבץ חזקים 2,תרגול משולשים,1,Predetermined,1060,סח - 172 - 10,4,Image and text,1,משולשים
פסיכומטרי,2,בעיות כלליות 1 מקבץ הצבת תשובות,תרגול הצבת תשובות,1,Predetermined,1072,A_9927,5,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,2,בעיות כלליות 1 מקבץ הצבת תשובות,תרגול הצבת תשובות,1,Predetermined,1084,A_10044,2,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,1,בעיות כלליות 1 מקבץ הצבת מספרים,תרגול הצבת מספרים,1,Predetermined,1086,A_9933,6,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,15,טווחים מקבץ חלשים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,1096,A_10051,3.5,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,16,טווחים מקבץ חזקים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,1096,A_10051,3.5,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,5220,בעיות מילוליות,בעיות מילוליות,1,Predetermined,1101,A_9940,3,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,13550,תרגול נוסף אחוזים,תרגול נוסף אחוזים,1,Predetermined,1102,סח - 236 - 4,7,Numeric bullet single choice,1,הסתברות
פסיכומטרי,5220,בעיות מילוליות,בעיות מילוליות,1,Predetermined,1106,A_10055,3,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,15,טווחים מקבץ חלשים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,1106,A_10055,3,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,921,מפגש 18 עקרונות יחס,תרגול עקרונות יחס,1,Predetermined,1116,סח- 236 - 6,7,Numeric bullet single choice,1,הסתברות
פסיכומטרי,987,משולשים מקבץ חזקים 2,תרגול משולשים,1,Predetermined,1133,סח - 91 - 8,4,Image and text,1,משולשים
פסיכומטרי,987,משולשים מקבץ חזקים 2,תרגול משולשים,1,Predetermined,1134,סח - 91 - 9,4,Image and text,1,משולשים
פסיכומטרי,921,מפגש 18 עקרונות יחס,תרגול עקרונות יחס,1,Predetermined,1156,A_10023,9,Numeric bullet single choice,1,הספק
פסיכומטרי,921,מפגש 18 עקרונות יחס,תרגול עקרונות יחס,1,Predetermined,1157,A_10024,7,Numeric bullet single choice,1,הספק
פסיכומטרי,58531,תרגול נוסף - אנלוגיות,תרגול נוסף - אנלוגיות,1,Predetermined,1164,629,4,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,16,טווחים מקבץ חזקים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,1177,A_9954,5,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,70932,בוחן בדיקה,בוחן בדיקה,1,Predetermined,1187,687,1,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,5220,בעיות מילוליות,בעיות מילוליות,1,Predetermined,1212,A_9945,5,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,1,בעיות כלליות 1 מקבץ הצבת מספרים,תרגול הצבת מספרים,1,Predetermined,1214,A_9947,5,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,4980,אנלוגיות,אנלוגיות,1,Predetermined,1215,690,4,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,58531,תרגול נוסף - אנלוגיות,תרגול נוסף - אנלוגיות,1,Predetermined,1215,690,4,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,8394,תגבור השמש ואנלוגיות,תגבור השמש ואנלוגיות,1,Predetermined,1219,697,8,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,58531,תרגול נוסף - אנלוגיות,תרגול נוסף - אנלוגיות,1,Predetermined,1223,708,8,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,5220,בעיות מילוליות,בעיות מילוליות,1,Predetermined,1228,A_9955,5,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,1,בעיות כלליות 1 מקבץ הצבת מספרים,תרגול הצבת מספרים,1,Predetermined,1231,A_9962,4,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,8394,תגבור השמש ואנלוגיות,תגבור השמש ואנלוגיות,1,Predetermined,1238,732,8,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,4980,אנלוגיות,אנלוגיות,1,Predetermined,1239,683,4,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,61441,assignment container,assignment container,1,Predetermined,1240,727,6,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,61441,assignment container,assignment container,1,Predetermined,1241,728,5,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,999,ביטויים חלשים 2,מקבץ 2,1,Predetermined,1291,A_9448,4,Numeric bullet single choice,1,ביטויים
פסיכומטרי,11082,assignment container,assignment container,1,Predetermined,1300,A_9795,5,Numeric bullet single choice,1,ביטויים
פסיכומטרי,8394,תגבור השמש ואנלוגיות,תגבור השמש ואנלוגיות,1,Predetermined,1305,737,3,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,4980,אנלוגיות,אנלוגיות,1,Predetermined,1308,חתמ - 16 - 2,4,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,61441,assignment container,assignment container,1,Predetermined,1309,חתמ - 16 - 3,4,Numeric bullet single choice,1,אנלוגיות
פסיכומטרי,16,טווחים מקבץ חזקים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,1312,A_9516,8,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,998,ביטויים חלשים 1,מקבץ 1,1,Predetermined,1331,A_9796,3,Numeric bullet single choice,1,ביטויים
פסיכומטרי,1000,ביטויים חזקים 1,מקבץ 1,1,Predetermined,1331,A_9796,3,Numeric bullet single choice,1,ביטויים
פסיכומטרי,5220,בעיות מילוליות,בעיות מילוליות,1,Predetermined,1344,A_9956,5,Numeric bullet single choice,1,כלליות 1
פסיכומטרי,24544,פעולות מומצאות,פעולות מומצאות,1,Predetermined,1346,A_9846,4,Numeric bullet single choice,1,פעולות מומצאות
פסיכומטרי,22136,תרגול משוואות נוסף,תרגול משוואות נוסף,1,Predetermined,1347,A_9429,7,Numeric bullet single choice,1,ביטויים
פסיכומטרי,62616,תרגול נוסף - אלגברה,תרגול נוסף - אלגברה,1,Predetermined,1349,A_9441,1,Numeric bullet single choice,1,ביטויים
פסיכומטרי,999,ביטויים חלשים 2,מקבץ 2,1,Predetermined,1350,A_9444,4,Numeric bullet single choice,1,ביטויים
פסיכומטרי,998,ביטויים חלשים 1,מקבץ 1,1,Predetermined,1352,A_9449,5,Numeric bullet single choice,1,ביטויים
פסיכומטרי,1000,ביטויים חזקים 1,מקבץ 1,1,Predetermined,1352,A_9449,5,Numeric bullet single choice,1,ביטויים
פסיכומטרי,15,טווחים מקבץ חלשים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,1353,A_9500,3,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,22136,תרגול משוואות נוסף,תרגול משוואות נוסף,1,Predetermined,1356,A_9509,10,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,22136,תרגול משוואות נוסף,תרגול משוואות נוסף,1,Predetermined,1359,A_9515,8,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,998,ביטויים חלשים 1,מקבץ 1,1,Predetermined,1363,A_9894,2,Numeric bullet single choice,1,ביטויים
פסיכומטרי,999,ביטויים חלשים 2,מקבץ 2,1,Predetermined,1370,A_9900,4,Numeric bullet single choice,1,ביטויים
פסיכומטרי,998,ביטויים חלשים 1,מקבץ 1,1,Predetermined,1391,A_9777,3,Numeric bullet single choice,1,ביטויים
פסיכומטרי,8394,תגבור השמש ואנלוגיות,תגבור השמש ואנלוגיות,1,Predetermined,1423,חתמ - 37 - 7,8,Numeric bullet single choice,1,השלמת משפטים מילולי
פסיכומטרי,11087,תרגול השלמת משפטים,תרגול השלמת משפטים,1,Predetermined,1424,חתמ - 37 - 8,7,Numeric bullet single choice,1,השלמת משפטים מילולי
פסיכומטרי,13346,תרגול נוסף השלמת משפטים,תרגול נוסף השלמת משפטים,1,Predetermined,1425,חתמ - 37 - 9,8,Numeric bullet single choice,1,השלמת משפטים מילולי
פסיכומטרי,13346,תרגול נוסף השלמת משפטים,תרגול נוסף השלמת משפטים,1,Predetermined,1430,חתמ - 39 - 14,7,Numeric bullet single choice,1,השלמת משפטים מילולי
